date,sp500,sp500ret
19991008,1336.02,0.013949
19991011,1335.21,-0.000606
19991012,1313.04,-0.016604
19991013,1285.55,-0.020936
19991014,1283.42,-0.001657
19991015,1247.41,-0.028058
19991018,1254.13,0.005387
19991019,1261.32,0.005733
19991020,1289.43,0.022286
19991021,1283.61,-0.004514
19991022,1301.65,0.014054
19991025,1293.63,-0.006161
19991026,1281.91,-0.00906
19991027,1296.71,0.011545
19991028,1342.44,0.035266
19991029,1362.93,0.015263
19991101,1354.12,-0.006464
19991102,1347.74,-0.004712
19991103,1354.93,0.005335
19991104,1362.64,0.00569
19991105,1370.23,0.00557
19991108,1377.01,0.004948
19991109,1365.28,-0.008518
19991110,1373.46,0.005991
19991111,1381.46,0.005825
19991112,1396.06,0.010569
19991115,1394.39,-0.001196
19991116,1420.07,0.018417
19991117,1410.71,-0.006591
19991118,1424.94,0.010087
19991119,1422,-0.002063
19991122,1420.94,-0.000745
19991123,1404.64,-0.011471
19991124,1417.08,0.008856
19991126,1416.62,-0.000325
19991129,1407.83,-0.006205
19991130,1388.91,-0.013439
19991201,1397.72,0.006343
19991202,1409.04,0.008099
19991203,1433.3,0.017217
19991206,1423.33,-0.006956
19991207,1409.17,-0.009949
19991208,1403.88,-0.003754
19991209,1408.11,0.003013
19991210,1417.04,0.006342
19991213,1415.22,-0.001284
19991214,1403.17,-0.008515
19991215,1413.32,0.007234
19991216,1418.78,0.003863
19991217,1421.03,0.001586
19991220,1418.09,-0.002069
19991221,1433.43,0.010817
19991222,1436.13,0.001884
19991223,1458.34,0.015465
19991227,1457.1,-0.00085
19991228,1457.66,0.000384
19991229,1463.46,0.003979
19991230,1464.47,0.00069
19991231,1469.25,0.003264
20000103,1455.22,-0.009549
20000104,1399.42,-0.038345
20000105,1402.11,0.001922
20000106,1403.45,0.000956
20000107,1441.47,0.02709
20000110,1457.6,0.01119
20000111,1438.56,-0.013063
20000112,1432.25,-0.004386
20000113,1449.68,0.01217
20000114,1465.15,0.010671
20000118,1455.14,-0.006832
20000119,1455.9,0.000522
20000120,1445.57,-0.007095
20000121,1441.36,-0.002912
20000124,1401.53,-0.027634
20000125,1410.03,0.006065
20000126,1404.09,-0.004213
20000127,1398.56,-0.003938
20000128,1360.16,-0.027457
20000131,1394.46,0.025218
20000201,1409.28,0.010628
20000202,1409.12,-0.000114
20000203,1424.97,0.011248
20000204,1424.37,-0.000421
20000207,1424.24,-0.000091
20000208,1441.72,0.012273
20000209,1411.7,-0.020822
20000210,1416.83,0.003634
20000211,1387.12,-0.020969
20000214,1389.94,0.002033
20000215,1402.05,0.008713
20000216,1387.67,-0.010256
20000217,1388.26,0.000425
20000218,1346.09,-0.030376
20000222,1352.17,0.004517
20000223,1360.69,0.006301
20000224,1353.43,-0.005336
20000225,1333.36,-0.014829
20000228,1348.05,0.011017
20000229,1366.42,0.013627
20000301,1379.19,0.009346
20000302,1381.76,0.001863
20000303,1409.17,0.019837
20000306,1391.28,-0.012695
20000307,1355.62,-0.025631
20000308,1366.7,0.008173
20000309,1401.69,0.025602
20000310,1395.07,-0.004723
20000313,1383.62,-0.008207
20000314,1359.15,-0.017685
20000315,1392.15,0.02428
20000316,1458.47,0.047639
20000317,1464.47,0.004114
20000320,1456.63,-0.005353
20000321,1493.87,0.025566
20000322,1500.64,0.004532
